episode,reward
0,36.0
1,15.0
2,26.0
3,19.0
4,13.0
5,13.0
6,18.0
7,10.0
8,16.0
9,30.0
10,44.0
11,10.0
12,13.0
13,14.0
14,22.0
15,9.0
16,43.0
17,44.0
18,44.0
19,13.0
20,30.0
21,17.0
22,44.0
23,47.0
24,17.0
25,15.0
26,71.0
27,16.0
28,14.0
29,15.0
30,10.0
31,18.0
32,44.0
33,21.0
34,18.0
35,26.0
36,12.0
37,21.0
38,11.0
39,12.0
40,22.0
41,35.0
42,37.0
43,36.0
44,27.0
45,18.0
46,21.0
47,10.0
48,18.0
49,11.0
50,27.0
51,80.0
52,26.0
53,16.0
54,69.0
55,16.0
56,17.0
57,106.0
58,18.0
59,9.0
60,43.0
61,10.0
62,25.0
63,14.0
64,15.0
65,13.0
66,25.0
67,9.0
68,37.0
69,48.0
70,15.0
71,31.0
72,16.0
73,19.0
74,11.0
75,21.0
76,24.0
77,16.0
78,37.0
79,16.0
80,15.0
81,67.0
82,25.0
83,57.0
84,27.0
85,18.0
86,45.0
87,43.0
88,13.0
89,17.0
90,21.0
91,34.0
92,30.0
93,22.0
94,16.0
95,37.0
96,27.0
97,16.0
98,30.0
99,23.0
100,32.0
101,66.0
102,16.0
103,15.0
104,58.0
105,111.0
106,16.0
107,21.0
108,51.0
109,15.0
110,28.0
111,23.0
112,21.0
113,34.0
114,18.0
115,128.0
116,32.0
117,13.0
118,29.0
119,20.0
120,24.0
121,31.0
122,23.0
123,78.0
124,107.0
125,64.0
126,90.0
127,32.0
128,17.0
129,21.0
130,17.0
131,50.0
132,48.0
133,81.0
134,16.0
135,19.0
136,14.0
137,17.0
138,49.0
139,140.0
140,132.0
141,20.0
142,34.0
143,15.0
144,33.0
145,77.0
146,78.0
147,105.0
148,114.0
149,28.0
150,56.0
151,61.0
152,55.0
153,14.0
154,50.0
155,79.0
156,157.0
157,56.0
158,71.0
159,138.0
160,96.0
161,37.0
162,131.0
163,17.0
164,19.0
165,26.0
166,14.0
167,91.0
168,68.0
169,84.0
170,103.0
171,173.0
172,136.0
173,110.0
174,38.0
175,28.0
176,99.0
177,218.0
178,288.0
179,100.0
180,34.0
181,70.0
182,112.0
183,313.0
184,75.0
185,102.0
186,126.0
187,32.0
188,42.0
189,121.0
190,164.0
191,68.0
192,177.0
193,291.0
194,148.0
195,100.0
196,230.0
197,226.0
198,167.0
199,153.0
200,128.0
201,105.0
202,166.0
203,339.0
204,238.0
205,95.0
206,40.0
207,135.0
208,83.0
209,147.0
210,153.0
211,500.0
212,124.0
213,463.0
214,110.0
215,59.0
216,184.0
217,500.0
218,261.0
219,150.0
220,236.0
221,110.0
222,302.0
223,185.0
224,409.0
225,259.0
226,273.0
227,274.0
228,279.0
229,227.0
230,201.0
231,400.0
232,11.0
233,168.0
234,151.0
235,239.0
236,169.0
237,196.0
238,166.0
239,365.0
240,216.0
241,414.0
242,202.0
243,500.0
244,167.0
245,218.0
246,317.0
247,500.0
248,500.0
249,155.0
250,395.0
251,177.0
252,173.0
253,166.0
254,157.0
255,165.0
256,164.0
257,226.0
258,218.0
259,481.0
260,156.0
261,75.0
262,64.0
263,56.0
264,177.0
265,93.0
266,214.0
267,383.0
268,38.0
269,424.0
270,167.0
271,217.0
272,128.0
273,161.0
274,204.0
275,147.0
276,219.0
277,171.0
278,168.0
279,86.0
280,416.0
281,173.0
282,203.0
283,252.0
284,420.0
285,500.0
286,231.0
287,59.0
288,14.0
289,500.0
290,500.0
291,500.0
292,500.0
293,500.0
294,130.0
295,52.0
296,500.0
297,500.0
298,368.0
299,147.0
300,377.0
301,130.0
302,37.0
303,122.0
304,184.0
305,206.0
306,95.0
307,233.0
308,261.0
309,136.0
310,113.0
311,90.0
312,19.0
313,120.0
314,94.0
315,134.0
316,146.0
317,67.0
318,500.0
319,206.0
320,41.0
321,91.0
322,289.0
323,154.0
324,151.0
325,128.0
326,139.0
327,293.0
328,200.0
329,234.0
330,145.0
331,277.0
332,379.0
333,500.0
334,136.0
335,326.0
336,122.0
337,245.0
338,125.0
339,310.0
340,311.0
341,70.0
342,136.0
343,113.0
344,72.0
345,227.0
346,285.0
347,358.0
348,295.0
349,80.0
350,290.0
351,343.0
352,500.0
353,500.0
354,43.0
355,398.0
356,273.0
357,329.0
358,211.0
359,259.0
360,400.0
361,124.0
362,78.0
363,500.0
364,500.0
365,500.0
366,16.0
367,115.0
368,18.0
369,256.0
370,492.0
371,282.0
372,362.0
373,370.0
374,277.0
375,317.0
376,42.0
377,201.0
378,290.0
379,307.0
380,193.0
381,73.0
382,500.0
383,500.0
384,500.0
385,62.0
386,500.0
387,500.0
388,241.0
389,295.0
390,500.0
391,500.0
392,500.0
393,500.0
394,363.0
395,93.0
396,500.0
397,120.0
398,227.0
399,500.0
400,168.0
401,136.0
402,96.0
403,500.0
404,304.0
405,277.0
406,500.0
407,500.0
408,500.0
409,500.0
410,114.0
411,500.0
412,55.0
413,500.0
414,247.0
415,500.0
416,500.0
417,248.0
418,500.0
419,43.0
420,138.0
421,443.0
422,124.0
423,328.0
424,219.0
425,225.0
426,500.0
427,335.0
428,500.0
429,19.0
430,500.0
431,500.0
432,326.0
433,500.0
434,500.0
435,500.0
436,500.0
437,391.0
438,15.0
439,500.0
440,500.0
441,407.0
442,147.0
443,198.0
444,483.0
445,444.0
446,232.0
447,383.0
448,325.0
449,477.0
450,272.0
451,292.0
452,86.0
453,500.0
454,126.0
455,85.0
456,500.0
457,105.0
458,500.0
459,499.0
460,128.0
461,256.0
462,85.0
463,100.0
464,410.0
465,260.0
466,493.0
467,244.0
468,500.0
469,500.0
470,337.0
471,500.0
472,306.0
473,500.0
474,363.0
475,235.0
476,153.0
477,329.0
478,174.0
479,464.0
480,96.0
481,252.0
482,161.0
483,500.0
484,341.0
485,98.0
486,432.0
487,20.0
488,500.0
489,500.0
490,500.0
491,500.0
492,447.0
493,50.0
494,500.0
495,500.0
496,101.0
497,170.0
498,18.0
499,53.0
